rank,rankBeforeHistory,id,vehicle,region,vin,seller,status,historyChecked,recalls,recallDetails,nicb,historyFinding,floodHistory,serviceHistory,publicHistorySources,maxBid,roundedTotal
1,1,54713756,2021 Kia Forte LXS,MO,3KPF24AD2ME414651,원본에 미표시,우선 점검,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""우박 전손"", ""lossDate"": ""2026-04-28"", ""cause"": ""Hail""}",NICB: 2026-04-28 우박 전손. 현재 Clean 서류와 보험 전손 이력은 별개입니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/kia/forte/2021/9bcab51b8770445a-kia-forte-lxs-3kpf24ad2me414651/"", ""https://usacars.bg/pl/car/kia-forte-2021-3kpf24ad2me414651"", ""https://usacars.bg/ru/car/kia-forte-2021-3kpf24ad2me414651""]",5500,10000
32,39,56644356,2024 Buick Envista Sport Touring,MO,KL47LBE26RB213963,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://checkcar.vin/pl/report/check/KL47LBE26RB213963"", ""https://checkcar.vin/fr/report/check/KL47LBE26RB213963"", ""https://plc.ua/auctions/lot/buick-envista-2024-vin-kl47lbe26rb213963-1-56644356/""]",3700,10000
33,41,61411886,2016 Hyundai Tucson Limited,MO,KM8J3CA25GU066197,USAA,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/pl/car/hyundai-tucson-2016-km8j3ca25gu066197"", ""https://usacars.bg/ru/car/hyundai-tucson-2016-km8j3ca25gu066197"", ""https://www.salvagereseller.com/cars-for-sale/61411886-2016-hyundai-tucson-limited-rogersville-mo""]",3500,9800
34,42,60953876,2018 Nissan Rogue Sport SL,MO,JN1BJ1CP0JW193594,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/pl/car/nissan-rogue-sport-2018-jn1bj1cp0jw193594"", ""https://www.salvagereseller.com/cars-for-sale/60953876-2018-nissan-rogue-sport-sl-bridgeton-mo"", ""https://www.salvagereseller.com/cars-for-sale/type/wagon/state/missouri""]",3500,10000
35,43,62801036,2021 Chevrolet Traverse LT,MO,1GNERGKW2MJ185536,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://daydrive.ua/catalog/usa/make/chevrolet/model/traverse/drive-line-type/fwd"", ""https://daydrive.ua/ru/catalog/usa/make/chevrolet/model/traverse/drive-line-type/fwd""]",3500,10000
36,44,66492966,2016 Subaru Outback 2.5i Premium,MO,4S4BSBCC6G3344926,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/subaru/outback/2016/bfd3bad2b9964d65-subaru-outback-25i_premium-4s4bsbcc6g3344926/"", ""https://autohelperbot.com/pl/car/4S4BSBCC6G3344926_65732376"", ""https://usacars.bg/pl/car/subaru-outback-2016-4s4bsbcc6g3344926""]",2100,8400
37,45,65599336,2017 Honda CR-V LX,KS,7FARW5H3XHE008335,GE,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://checkcar.vin/pl/report/check/7FARW5H3XHE008335"", ""https://usacars.bg/pl/car/honda-cr-v-2017-7farw5h3xhe008335"", ""https://checkcar.vin/fr/report/check/7FARW5H3XHE008335""]",3000,8400
38,5,67222806,2021 Honda HR-V EX,KS,3CZRU5H51MM705895,미공개,리콜 수리 확인 후 검토,2026-09-14,1,"[[""24V064"", ""XHK"", ""조수석 중량 센서 단락으로 어린이 탑승 시 에어백 오작동 위험. 센서 교체."", ""수리 가능""]]","{""theft"": ""일치 기록 없음"", ""totalLoss"": ""일치 기록 없음""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],5000,9800
39,29,67767886,2019 Mitsubishi Outlander SE,KS,JA4AZ3A34KZ041681,미공개,리콜 수리 확인 후 검토,2026-09-14,1,"[[""25V507"", ""SR-25-002"", ""테일게이트 가스 스트럿 부식으로 게이트 낙하·부품 파열 위험. 양쪽 교체."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/mitsubishi/outlander/2019/9d5655eb8e913f4c-mitsubishi-outlander-se-ja4az3a34kz041681/"", ""https://www.carma.com.ua/car/ja4az3a34kz041681"", ""https://en.bidhistory.org/mitsubishi/outlander/2020/34c4e749adc544f4-mitsubishi-outlander-se-ja4ad3a33lz047455/""]",3500,8800
40,32,57783336,2018 Ford Taurus SE,MO,1FAHP2D84JG125303,Bristol West Insurance,리콜 수리 확인 후 검토,2026-09-14,2,"[[""25V611"", ""25S91"", ""앞문 B필러 몰딩 이탈 위험. 접착 보강."", ""수리 가능""], [""25V695"", ""25SA9"", ""후방 카메라 영상 공백·왜곡."", ""수리 부품 미제공""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","Edmunds 이전 판매 목록에 같은 VIN, 71,632mi, 2026-02-02 게시, $13,238가 표시됩니다. 당시 AutoCheck 요약은 무사고·개인용·Clean으로 표시되지만 현재 상태를 보증하지 않습니다. 실제 정비 명세는 공개되지 않았습니다.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.edmunds.com/used-ford-taurus-springdale-ar/"", ""https://www.edmunds.com/used-ford-taurus-springdale-ar/"", ""https://www.infinitiofspringfield.com/leasing.html"", ""https://plc.ua/auctions/lot/ford-taurus-2018-vin-1fahp2d84jg125303-1-57783336/""]",4500,9900
41,33,59807505,2017 Ford Fusion SE,MO,3FA6P0H79HR415049,원본에 미표시,리콜 수리 확인 후 검토,2026-09-14,1,"[[""18V167"", ""18S08"", ""핸들 고정 볼트 풀림으로 핸들이 조향축에서 분리될 위험. 볼트 교체."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",2025년 8월 같은 LOT의 이전 경매·재판매 기록이 공개되어 있습니다. 사이트별 낙찰 가격·판매 상태가 달라 가격은 확정하지 않았습니다. 현재 안전 리콜 수리 확인이 우선입니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://stat.vin/fr/cars/3FA6P0H79HR415049"", ""https://carfast.express/auction/lots/59807505-ford-fusion-se-2017-vin-3fa6p0h79hr415049"", ""https://bidmotors.bg/ford-fusion-se-2017-3fa6p0h79hr415049"", ""https://dreambid.pl/ru/lots/copart-59807505/2017-Ford-Fusion-3FA6P0H79HR415049""]",2500,8100
42,35,64586406,2016 Ford Fusion S,KS,3FA6P0G76GR231039,미공개,리콜 수리 확인 후 검토,2026-09-14,1,"[[""25V695"", ""25SA9"", ""후방 카메라 영상 공백·왜곡."", ""수리 부품 미제공""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/ru/car/ford-fusion-2016-3fa6p0g76gr231039"", ""https://www.salvagereseller.com/cars-for-sale/64586406-2016-ford-fusion-s-kansas-city-ks"", ""https://bid.cars/en/lot/1-64586406/2016-Ford-Fusion-3FA6P0G76GR231039""]",1500,5400
43,46,63031466,2019 Ford Explorer Limited,MO,1FM5K8F82KGA91743,원본에 미표시,리콜 수리 확인 후 검토,2026-09-14,2,"[[""26V101"", ""26S08"", ""후륜 토 링크 파손으로 조향 제어 상실 위험. 양쪽 교체·얼라인먼트."", ""수리 가능""], [""26V448"", ""26S54"", ""루프 레일 커버 이탈 위험."", ""수리 부품 미제공""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/en/car/ford-explorer-2019-1fm5k8f82kga91743"", ""https://usacars.bg/pl/car/ford-explorer-2019-1fm5k8f82kga91743"", ""https://usacars.bg/es/car/ford-explorer-2019-1fm5k8f82kga91743""]",3300,10000
44,47,57063216,2019 Ford Explorer Sport,MO,1FM5K8GT7KGA40841,원본에 미표시,리콜 수리 확인 후 검토,2026-09-14,3,"[[""24V031"", ""24S02"", ""A필러 외장 몰딩 이탈 위험. 점검·고정/교체."", ""수리 가능""], [""26V101"", ""26S08"", ""후륜 토 링크 파손으로 조향 제어 상실 위험. 양쪽 링크 교체·얼라인먼트."", ""수리 가능""], [""26V448"", ""26S54"", ""루프 레일 커버 이탈 위험."", ""수리 부품 미제공""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/ru/car/ford-explorer-2019-1fm5k8gt7kga40841"", ""https://checkcar.vin/pl/report/check/1FM5K8GT7KGA40841"", ""https://checkcar.vin/uk/report/check/1FM5K8GT7KGA40841""]",2900,9900
45,48,61707486,2018 Honda Civic LX,MO,2HGFC2F50JH583569,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.salvagereseller.com/cars-for-sale/make/honda/model/civic/from-year/2018/to-year/2018?page=100"", ""https://www.auto4export.com/pl/lot/1300760574/2018-honda-civic"", ""https://en.bidhistory.org/honda/civic/2018/bfdce8d3ab5a153d-honda-civic-lx-2hgfc2f54jh555371/""]",2900,9900
46,50,56681616,2019 Chevrolet Malibu LT,MO,1G1ZD5ST4KF151626,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.autodetective.com/directory/2019/chevrolet/malibu/""]",3400,10000
47,52,67181256,2019 Kia Sorento SX V6,KS,5XYPKDA52KG464348,미공개,수리 견적 선행,2026-09-14,1,"[[""22V703"", ""SC249F"", ""견인 히치 배선 모듈 단락·화재 위험. 수리 전 건물에서 떨어진 실외에 주차. 퓨즈/모듈 점검·교체."", ""수리 가능""]]","{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/kia/sorento/2019/b6fa74acac5e7001-kia-sorento-sx_v6-5xypkda52kg464348/"", ""https://checkcar.vin/pl/report/check/5XYPKDA52KG464348"", ""https://checkcar.vin/uk/report/check/5XYPKDA52KG464348""]",4700,9900
48,53,65809996,2012 Honda Accord EX-L V6,KS,1HGCP3F88CA015658,미공개,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/en/car/honda-accord-2012-1hgcp3f88ca015658"", ""https://usacars.bg/pl/car/honda-accord-2012-1hgcp3f88ca015658"", ""https://usacars.bg/ru/car/honda-accord-2012-1hgcp3f88ca015658""]",2000,8100
49,54,62560656,2018 Buick Encore Preferred,MO,KL4CJASB1JB639616,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/buick/encore/2018/b7f7a1e3a98f2bf5-buick-encore-preferred-kl4cjasb1jb639616/"", ""https://autoauctionhistory.com/automobile/buick/encore/f52ed3cf1e-buick_encore_preferred/"", ""https://plc.ua/auctions/lot/buick-encore-2018-vin-kl4cjasb1jb639616-1-62560656/""]",3000,8800
50,55,67360886,2018 Subaru Outback 3.6R Limited,KS,4S4BSENC8J3207654,USAA,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/subaru/outback/2018/e4872da18584947c-subaru-outback-36r_limited-4s4bsenc8j3207654/"", ""https://usacars.bg/en/car/subaru-outback-2018-4s4bsenc8j3207654"", ""https://usacars.bg/ru/car/subaru-outback-2018-4s4bsenc8j3207654""]",4000,9600
51,56,68021716,2018 Mazda CX-5 Grand Touring,KS,JM3KFBDM1J0333137,미공개,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.salvagereseller.com/cars-for-sale/68021716-2018-mazda-cx-5-grand-touring-kansas-city-ks/0"", ""https://www.salvagereseller.com/es/cars-for-sale/68021716-2018-mazda-cx-5-grand-touring-kansas-city-ks/0"", ""https://stat.vin/ar/cars/jm3kfbdm1j0333137-mazda-cx-5-2018-black-inline-4""]",4800,9800
52,58,63509536,2018 Mazda6 Touring,MO,JM1GL1VM1J1302657,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.selectauto.bg/avtomobil/69639227"", ""https://gobid.lt/en/copart/63509536"", ""https://pivottracing.io/history/JM1GL1VM1J1313416""]",3800,9900
53,59,85613475,2016 Chevrolet Impala LT,KS,2G1115S33G9164292,GE,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/chevrolet/impala/2016/acfa08155942039f-chevrolet-impala-lt-2g1115s33g9164292/"", ""https://usacars.bg/car/chevrolet-impala-2016-2g1115s33g9164292"", ""https://usacars.bg/pl/car/chevrolet-impala-2016-2g1115s33g9164292""]",2000,7900
54,60,42068106,2022 Chevrolet Equinox LT,MO,3GNAXKEVXNS202853,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.salvagereseller.com/cars-for-sale/42068106-2022-chevrolet-equinox-lt-rogersville-mo"", ""https://bid.cars/pl/lot/1-42068106/2022-Chevrolet-Equinox-3GNAXKEVXNS202853"", ""https://bid.cars/en/lot/1-42068106/2022-Chevrolet-Equinox-3GNAXKEVXNS202853""]",3700,10000
55,61,75971465,2019 Toyota Camry LE,KS,4T1B11HK7KU681766,미공개,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/camry/2019/08f3b07e722108bb-toyota-camry-le-4t1b11hk7ku681766/"", ""https://www.salvagereseller.com/cars-for-sale/75971465-2019-toyota-camry-le-kansas-city-ks"", ""https://www.automobileauctioneers.com/vehicles-history/toyota/camry/2019/4t1b11hk7ku681766/""]",3500,9400
56,62,62295176,2016 Jeep Renegade Sport,MO,ZACCJAAT0GPD40360,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/en/car/jeep-renegade-2016-zaccjaat0gpd40360"", ""https://usacars.bg/car/jeep-renegade-2016-zaccjaat0gpd40360"", ""https://usacars.bg/pl/car/jeep-renegade-2016-zaccjaat0gpd40360""]",3000,9100
57,63,48953663,2017 Chevrolet Cruze LT,MO,1G1BE5SMXH7219177,원본에 미표시,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}","공개 과거 자료는 KS Kansas City, 현재 Copart 직접 확인은 MO Springfield입니다. 현재 위치를 우선 적용했습니다. MO Duplicate Title·68,651mi Actual·Front End·Upcoming. 과거 보험 판매자 표시는 현재 판매자 확정과 구분합니다.",침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://stat.vin/ar/cars/1G1BE5SMXH7219177"", ""https://stat.vin/ge/cars/1G1BE5SMXH7219177"", ""https://carfast.express/auction/lots/90603755-chevrolet-cruze-2018-vin-1g1be5sm8j7102851""]",2900,9900
58,64,67092526,2015 Mitsubishi Outlander Sport SE,KS,4A4AR4AU8FE045176,미공개,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/mitsubishi/outlander/2015/6a5aebc414181f52-mitsubishi-outlander-se-4a4ar4au8fe045176/"", ""https://bidhistory.org/mitsubishi/outlander/2015/6a5aebc414181f52-mitsubishi-outlander-se-4a4ar4au8fe045176/"", ""https://www.automobileauctioneers.com/vehicles-history/mitsubishi/outlander/2015/4a4ar4au8fe045176/""]",2400,7900
59,65,55442176,2012 Subaru Forester 2.5X Premium,KS,JF2SHBDCXCH447119,미공개,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/subaru/forester/2012/9100864a4873e599-subaru-forester-25x_premium-jf2shbdcxch447119/"", ""https://usacars.bg/en/car/subaru-forester-2012-jf2shbdcxch447119"", ""https://usacars.bg/ru/car/subaru-forester-2012-jf2shbdcxch447119""]",2400,8200
60,66,68544326,2015 Toyota Camry LE,KS,4T4BF1FK9FR492892,미공개,수리 견적 선행,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],3500,9400
